Issue Type,Issue key,Issue id,Summary,Assignee,Status,Sprint,Sprint,Sprint,Parent,Parent key,Parent summary,Inward issue link (Relates)
Epic,G4PW-1,10000,User Authentication & Account,,Done,,,,,,,
Epic,G4PW-2,10001,Venue Discovery & Search,,Done,,,,,,,
Epic,G4PW-3,10002,Venue Detail,,Done,,,,,,,
Epic,G4PW-4,10003,Booking & Payments,,Done,,,,,,,
Epic,G4PW-5,10004,Provider / Venue Management,,Done,,,,,,,
Epic,G4PW-6,10005,ML Recommendation & AI Features,,Done,,,,,,,
Task,G4PW-7,10006,Core Product Backlog Structural Creation,Youssef Bouarada,Done,G4RP Sprint 1,,,10052,G4PW-53,Agile Project Management,
Task,G4PW-8,10007,UI/UX Mockups & Wireframe Generation,Youssef Bouarada,Done,G4RP Sprint 1,,,10050,G4PW-51,"DevOps, Infrastructure & CI/CD",
Task,G4PW-10,10009,Environment Setup & Emulator Configuration,Wenfei Song,Done,G4RP Sprint 1,,,10050,G4PW-51,"DevOps, Infrastructure & CI/CD",
Task,G4PW-11,10010,Explore Datasets and Identify Quality Issues,Adam Treanor,Done,G4RP Sprint 1,,,10050,G4PW-51,"DevOps, Infrastructure & CI/CD",
Task,G4PW-12,10011,Investigate Backend Frameworks & Map APIs,sunmin.lee,Done,G4RP Sprint 1,,,10050,G4PW-51,"DevOps, Infrastructure & CI/CD",
Epic,G4PW-47,10046,Mobile & Responsive UX,,Done,,,,,,,
Epic,G4PW-48,10047,Landing Page & Navigation,,Done,,,,,,,
Epic,G4PW-49,10048,Reviews & Ratings,,Done,,,,,,,
Epic,G4PW-50,10049,Admin / System Operations,,Done,,,,,,,
Epic,G4PW-51,10050,"DevOps, Infrastructure & CI/CD",,Done,,,,,,,
Epic,G4PW-52,10051,Quality Assurance & Automated Testing,,Done,,,,,,,
Epic,G4PW-53,10052,Agile Project Management,,Done,,,,,,,
Epic,G4PW-54,10053,Academic Deliverables & Presentations,,Done,,,,,,,
Task,G4PW-55,10054,Local Frontend Environment Configuration,Peiyou Yao,Done,G4RP Sprint 1,,,10050,G4PW-51,"DevOps, Infrastructure & CI/CD",
Task,G4PW-56,10055,Frontend Project Initialization (Vite + TS),Peiyou Yao,Done,G4RP Sprint 1,,,10050,G4PW-51,"DevOps, Infrastructure & CI/CD",
Task,G4PW-57,10056,Document Unified Formatting Automation Script,Peiyou Yao,Done,G4RP Sprint 1,,,10052,G4PW-53,Agile Project Management,
Task,G4PW-58,10057,UI-Based Frontend Page Structural Development,Peiyou Yao,Done,G4RP Sprint 1,,,10047,G4PW-48,Landing Page & Navigation,
Task,G4PW-59,10058,Conditional Mocking & Unified API Fetcher Architecture,Peiyou Yao,Done,G4RP Sprint 1,,,10051,G4PW-52,Quality Assurance & Automated Testing,
Task,G4PW-60,10059,Frontend UI Layout Scaffold & Skeleton Code,Youssef Bouarada,Done,G4RP Sprint 1,,,10050,G4PW-51,"DevOps, Infrastructure & CI/CD",
Task,G4PW-61,10060,User Requirement Interviews & Spec Engineering,Youssef Bouarada,Done,G4RP Sprint 1,,,10052,G4PW-53,Agile Project Management,
Task,G4PW-62,10061,"Writing, Transcribing & Reviewing Project Docs",Youssef Bouarada,Done,G4RP Sprint 1,,,10053,G4PW-54,Academic Deliverables & Presentations,
Task,G4PW-63,10062,User Stories Composition & Estimation,Youssef Bouarada,Done,G4RP Sprint 1,,,10052,G4PW-53,Agile Project Management,
Task,G4PW-64,10063,Backlog Grooming & Requirement Refining,Youssef Bouarada,Done,G4RP Sprint 1,,,10052,G4PW-53,Agile Project Management,
Task,G4PW-65,10064,Active Cross-Functional Meeting Participation,Youssef Bouarada,Done,G4RP Sprint 1,,,10052,G4PW-53,Agile Project Management,
Task,G4PW-66,10065,Team Role Allocation & Acceptance Criteria Definition,Youssef Bouarada,Done,G4RP Sprint 1,,,10052,G4PW-53,Agile Project Management,
